Company,Ticker,Country
PRFO,PRFO.ST,SWE
PRIC B,PRIC-B.ST,SWE
PROB,PROB.ST,SWE
QLINEA,QLINEA.ST,SWE
RATO A,RATO-A.ST,SWE
RATO B,RATO-B.ST,SWE
RAY B,RAY-B.ST,SWE
READ,READ.ST,SWE
REJL B,REJL-B.ST,SWE
RESURS,RESURS.ST,SWE
RROS,RROS.ST,SWE
RVRC,RVRC.ST,SWE
SAAB B,SAAB-B.ST,SWE
SAGA A,SAGA-A.ST,SWE
SAGA B,SAGA-B.ST,SWE
SAGA D,SAGA-D.ST,SWE
SAND,SAND.ST,SWE
SAS,SAS.ST,SWE
SAVE,SAVE.ST,SWE
SBB B,SBB-B.ST,SWE
SBB D,SBB-D.ST,SWE
SCA A,SCA-A.ST,SWE
SCA B,SCA-B.ST,SWE
SCST,SCST.ST,SWE
SDIP B,SDIP-B.ST,SWE
SDIP PREF,SDIP-PREF.ST,SWE
SEB A,SEB-A.ST,SWE
SEB C,SEB-C.ST,SWE
SECT B,SECT-B.ST,SWE
SECU B,SECU-B.ST,SWE
SF,SF.ST,SWE
SHB A,SHB-A.ST,SWE
SHB B,SHB-B.ST,SWE
SHOT,SHOT.ST,SWE
SINCH,SINCH.ST,SWE
SIVE,SIVE.ST,SWE
SKA B,SKA-B.ST,SWE
SKF A,SKF-A.ST,SWE
SKF B,SKF-B.ST,SWE
SKIS B,SKIS-B.ST,SWE
SLP B,SLP-B.ST,SWE
SOBI,SOBI.ST,SWE
SSAB A,SSAB-A.ST,SWE
SSAB B,SSAB-B.ST,SWE
STE A,STE-A.ST,SWE
STE R,STE-R.ST,SWE
STEF B,STEF-B.ST,SWE
STOR B,STOR-B.ST,SWE
SWEC A,SWEC-A.ST,SWE
SWEC B,SWEC-B.ST,SWE
SWED A,SWED-A.ST,SWE
SWMA,SWMA.ST,SWE
SVOL A,SVOL-A.ST,SWE
SVOL B,SVOL-B.ST,SWE
SYNSAM,SYNSAM.ST,SWE
SYSR,SYSR.ST,SWE
TVDOX,TVDOX.ST,SWE
TEL2 A,TEL2-A.ST,SWE
TEL2 B,TEL2-B.ST,SWE
TELIA,TELIA.ST,SWE
TETY,TETY.ST,SWE
TFBANK,TFBANK.ST,SWE
THULE,THULE.ST,SWE
TIETOS,TIETOS.ST,SWE
TIGO SDB,TIGO-SDB.ST,SWE
TOBII,TOBII.ST,SWE
TRAC B,TRAC-B.ST,SWE
TREL B,TREL-B.ST,SWE
TRIAN B,TRIAN-B.ST,SWE
TROAX,TROAX.ST,SWE
TRUE B,TRUE-B.ST,SWE
WALL B,WALL-B.ST,SWE
VBG B,VBG-B.ST,SWE
WBGR B,WBGR-B.ST,SWE
WIHL,WIHL.ST,SWE
VIT B,VIT-B.ST,SWE
VITR,VITR.ST,SWE
VIVE,VIVE.ST,SWE
VNE SDB,VNE-SDB.ST,SWE
VNV,VNV.ST,SWE
VOLCAR B,VOLCAR-B.ST,SWE
VOLO,VOLO.ST,SWE
VOLO PREF,VOLO-PREF.ST,SWE
VOLV A,VOLV-A.ST,SWE
VOLV B,VOLV-B.ST,SWE
XANO B,XANO-B.ST,SWE
XBRANE,XBRANE.ST,SWE
XSPRAY,XSPRAY.ST,SWE
XVIVO,XVIVO.ST,SWE
